Instituto,Localidad,Presentados,Aptos,Media Expediente,Media PAU
CENTRE PRIVAT LA PURÍSIMA,ALZIRA,34,34,7.9,6.6
IES REI EN JAUME,ALZIRA,59,56,7.6,6.2
IES JOSÉ MARÍA PARRA,ALZIRA,39,36,7,5.2
CENTRE PRIVAT NUESTRA SEÑORA DE LA SALUD,ALGEMESÍ,30,30,8.2,7.1
IES SANT VICENT FERRER,ALGEMESÍ,30,30,8,7.1
IES BERNAT GUINOVART,ALGEMESÍ,44,42,7.4,6.4
IES FRANCESC GIL,CANALS,24,24,7.9,6.7
CENTRE PRIVAT MARÍA INMACULADA,CARCAIXENT,29,28,8,6.4
CENTRE PRIVAT SAN ANTONIO DE PADUA,CARCAIXENT,38,36,7.6,5.8
IES RICARDO MARÍN IBÁNEZ,CHESTE,25,25,8,6.8
CENTRO PRIVADO COLEGIO DE LEVANTE,CHIVA,13,13,8.2,6.3
CENTRE PRIVAT ESCOLÀPIES GANDIA,GANDIA,70,69,7.9,6.2
CENTRE PRIVAT REAL COLEGIO ESCUELAS PÍAS,GANDIA,62,62,8.1,6.7
IES AUSIÀS MARCH,GANDIA,36,36,7.7,6.5
IES MARÍA ENRÍQUEZ,GANDIA,104,101,7.4,5.9
CENTRE PRIVAT CLARET,XÀTIVA,47,47,7.5,6.2
IES JOSÉ DE RIBERA,XÀTIVA,124,112,7.8,5.8
IES JOSÉ RODRIGO BOTET,MANISES,31,30,7.7,6.1
CENTRE PRIVAT SAN JOSÉ DE LA MONTAÑA,OLIVA,20,17,7.2,4.9
IES GREGORI MAIANS,OLIVA,37,34,8,5.7
IES GABRIEL CÍSCAR,OLIVA,36,35,7.6,6.5
CENTRE PRIVAT LAS COLINAS,GANDIA,21,20,8.1,6
CENTRE PRIVAT MARÍA DE ICÍAR,RIBA-ROJA DE TURIA,3,1,6.5,3.3
CENTRE PRIVAT ASUNCIÓN DE NUESTRA SEÑORA,RIBA-ROJA DE TURIA,29,29,8.6,7.7
IES EDUARDO MERELLÓ,SAGUNT,33,32,7.2,5.7
IES JORGE JUAN,SAGUNT,20,18,7.1,5.2
CENTRE PRIVAT ADVENTISTA,SAGUNT,23,18,7.7,5.5
IES CLOT DEL MORO,SAGUNT,98,83,7.4,5.6
IES CAMP DE MORVEDRE,SAGUNT,73,70,7.6,6.5
IES JAUME II EL JUST,TAVERNES DE VALLDIGNA,51,48,7.7,6
CENTRE PRIVAT JULIO VERNE,TORRENT,27,27,8.4,7.1
CENTRE PRIVAT MADRE SACRAMENTO,TORRENT,19,19,7.3,5.7
CENTRE PRIVAT EL VEDAT,TORRENT,44,42,8.3,6.6
CENTRE PRIVAT NUESTRA SEÑORA DEL MONTE SIÓN,TORRENT,40,39,7.5,6.2
CENTRE PRIVAT LA PURÍSIMA ,TORRENT,30,29,7.3,5.9
IES TIRANT LO BLANC ,TORRENT,25,21,7.6,5.2
CENTRE PRIVAT ESCLAVAS DE MARÍA,VALÈNCIA,34,34,7.4,6.2
CENTRE PRIVAT JESÚS MARÍA,VALÈNCIA,81,79,7.7,6.4
CENTRE PRIVAT INMACULADO CORAZÓN DE MARÍA,VALÈNCIA,50,47,7.4,5.9
CENTRE PRIVAT SAN PEDRO PASCUAL,VALÈNCIA,63,63,8.1,6.7
CENTRE INTEGRAT LA PURÍSIMA-FRANCISCANAS,VALÈNCIA,39,37,8.2,6.2
CENTRE PRIVAT NUESTRA SEÑORA DE FÁTIMA,VALÈNCIA,31,29,8,6.2
CENTRE PRIVAT SAN JUAN BOSCO,VALÈNCIA,9,8,7.2,5.6
CENTRE PRIVAT SAGRADA FAMILIA,VALÈNCIA,51,49,8,6.5
CENTRE PRIVAT NUESTRA SEÑORA DEL PILAR,VALÈNCIA,122,120,8.1,6.6
CENTRE PRIVAT PUREZA DE MARÍA,VALÈNCIA,55,54,7.8,6.4
CENTRE PRIVAT ESCUELAS SAN JOSÉ (I. POLIT.),VALÈNCIA,110,105,7.6,6.2
IES JORDI DE SANT JORDI,VALÈNCIA,8,8,7.9,6.1
IES JUAN DE GARAY,VALÈNCIA,71,67,7.3,6.2
IES CID CAMPEADOR,VALÈNCIA,51,50,7.7,6.6
IES JOANOT MARTORELL,VALÈNCIA,51,48,7.5,5.9
IES EL CABANYAL,VALÈNCIA,67,64,7.7,6.5
CENTRE PRIVAT SALESIANOS-SAN JUAN BOSCO,VALÈNCIA,67,67,7.9,6.3
CENTRE PRIVAT AULA 3,VALÈNCIA,41,39,6.5,5.8
CENTRE PRIVAT SANTA TERESA DE JESÚS,TORRENT,80,78,7.6,6.4
IES FONT DE SANT LLUÍS,VALÈNCIA,40,39,7.4,6.5
IES TIRANT LO BLANC,GANDIA,37,37,8.1,6
IES DISTRICTE MARÍTIM,VALÈNCIA,82,80,7.8,6.1
IES SALVADOR GADEA,ALDAIA,67,67,7.7,6.3
IES LA VALLDIGNA,VALLDIGNA,27,26,7.9,6.1
IES LA MARXADELLA,TORRENT,43,42,7.6,6.2
IES GONZALO ANAYA,XIRIVELLA,24,21,7.9,5.6
CENTRE PRIVAT MARTÍ SOROLLA II,VALÈNCIA,44,41,8,6.3
CENTRE PRIVAT JUAN COMENIUS,VALÈNCIA,26,26,7.8,6.7
IES PERE BOÏL,MANISES,60,60,8.2,7.2
IES LA SÈNIA,PAIPORTA,27,26,8.1,6.3
IES RAMON LLULL,VALÈNCIA,43,42,7.7,6.9
CENTRE PRIVAT LOS NARANJOS,GANDIA,18,17,7.4,5.4
CENTRE PRIVAT GREGORI MAYANS I CISCAR,GANDIA,25,25,8,6.7
IES RAMON MUNTANER,XIRIVELLA,29,29,7.1,6.1
IES ENRIC VALOR,PICANYA,42,42,7.5,6.3
IES NÚMERO 26,VALÈNCIA,47,46,7.6,6.3
IES BALEARES,VALÈNCIA,19,19,7.7,6.5
IES DOCTOR LLUÍS SIMARRO LACABRA,XÀTIVA,32,31,7.4,6.1
IES LA GARRIGOSA,MELIANA,36,35,7.7,6.2
IES SERRA PERENXISA,TORRENT,4,4,8.4,6.4
IES FRANCESC FERRER I GUÀRDIA,VALÈNCIA,46,46,7.7,6.6
IES LA SENDA,QUART DE POBLET,48,46,7.3,6.1
IES JOSÉ BALLESTER GOZALVO,VALÈNCIA,28,24,7.1,5.6
IES MARÍA MOLINER,SAGUNT,27,26,8.1,6.5
IES LA VALL DE SEGÓ,BENIFAIRÓ DE LES VALLS,18,18,8,7
IES DE ENGUERA,ENGUERA,26,26,7.9,6.5
IES PLA DE NADAL,RIBA-ROJA DEL TURIA,30,29,7.5,6.2
IES CARLES SALVADOR,ALDAIA,32,32,7.8,6.2
IES DE MOIXENT,MOIXENT,37,37,8.1,6
IES JOAN FUSTER,BELLREGUARD,54,49,8.1,6.3
IES SIVERA FONT,CANALS,39,35,7.8,5.9
IES VALL DE LA SAFOR,VILALLONGA,19,19,7.7,5.9
IES ARABISTA RIBERA,CARCAIXENT,31,29,7.7,6.3
IES NÚMERO 1,CHESTE,11,9,7.7,4.9
IES MONTDÚVER,XERACO,22,19,8,6.1
IES LA CANAL DE NAVARRÉS,NAVARRÉS,21,19,7.5,5.5
IES VELES E VENTS,GANDIA,35,33,7.6,6.2
IES MARJANA,CHIVA,43,40,7.3,5.9
IES CONSELLERIA,VALÈNCIA,47,40,7.3,5.4
IES LES FOIES,BENIGÀNIM,44,43,7.8,6.3
IES EL RAVATXOL,VALÈNCIA,20,19,7.9,6.4
IES AUSIÀS MARCH ,MANISES,46,42,7.7,6.1
IES RIU TÚRIA ,QUART DE POBLET,20,20,7.8,6.8
IES SUCRO,ALBALAT DE LA RIBERA,42,39,7.9,5.6
IES BEATRIU CIVERA,ALDAIA,25,22,7.3,5.4
IES VELES E VENTS,TORRENT,33,32,7.5,6
IES MALILLA,VALÈNCIA,30,30,7.7,7.2
IES ALCALANS,MONTSERRAT,23,23,7.5,6
IES ESCULTOR EN FRANCESC BADIA,FOIOS,34,32,7.4,5.6
IES PERE D'ESPLUGUES,LA POBLA LLARGA,39,39,7.7,6.3
IES LA MURTA,ALZIRA,49,46,7.6,5.9
IES EL QUINT,RIBA-ROJA DEL TURIA,30,30,7.5,6.6
IES ABASTOS,VALÈNCIA,31,30,7.5,6.5
IES ANDREU ALFARO,PAIPORTA,34,33,7.2,5.9
CENTRE PRIVAT MADRE JOSEFA CAMPOS,ALAQUÀS,21,21,8,6.2
IES DOCTOR FAUSTÍ BARBERÁ,ALAQUÀS,28,28,8,6.2
IES JOSEP SEGRELLES,ALBAIDA,53,53,7.7,6.4
CENTRE PRIVAT PARROQUIAL DON JOSÉ LLUCH,ALBORAIA,72,70,7.1,5.6
CENTRE PRIVAT NUESTRA SEÑORA DEL SOCORRO,BENETÚSSER,53,49,7.1,5.7
IES LA HOYA DE BUÑOL,BUÑOL,41,39,7.4,5.7
CENTRE PRIVAT JUAN XXIII,BURJASSOT,27,25,7.5,6
CENTRE PRIVAT LA DEVESA,CARLET,34,34,7.9,6
IES EDUARDO PRIMO MARQUÉS,CARLET,33,32,7.9,5.9
IES 9 D'OCTUBRE,CARLET,14,14,7.5,5.6
IES BERENGUER DALMAU,CATARROJA,40,40,8.2,6.5
IES BLASCO IBÁÑEZ,CULLERA,54,54,7.7,6.8
CENTRE PRIVAT IALE,L'ELIANA,20,20,7.7,7.1
CENTRE PRIVAT SAGRADO CORAZÓN,GODELLA,85,83,7.5,6.1
CENTRE PRIVAT SAN BARTOLOMÉ,GODELLA,24,24,7.7,6.2
CENTRE PRIVAT LUIS AMIGÓ,GODELLA,115,109,7.3,6.2
CENTRE PRIVAT EDELWEISS,GODELLA,14,14,8.3,7.1
CENTRE PRIVAT INSTITUCIÓN CULTURAL DOMUS,GODELLA,43,42,7.9,6.5
CENTRE PRIVAT FRANCISCO LLOPIS LATORRE,LLÍRIA,30,28,7.4,6.1
IES CAMP DE TÚRIA ,LLÍRIA,65,65,7.5,6.1
CENTRE PRIVAT SAGRADO CORAZÓN,MISLATA,46,45,7.6,6.3
CENTRE PRIVAT SAN JAIME APÓSTOL,MONCADA,47,46,7.9,6.2
CENTRE PRIVAT SAN PABLO-CEU,MONCADA,53,53,8.1,6.8
CENTRE PRIVAT LA CONCEPCIÓN,ONTINYENT,44,44,7.3,6.1
CENTRE PRIVAT PUREZA DE MARÍA,ONTINYENT,28,26,8.1,5.8
IES L'ESTACIÓ,ONTINYENT,38,38,7.5,7
IES POU CLAR,ONTINYENT,27,24,7.6,6
CENTRE PRIVAT LA SALLE,PATERNA,78,78,7.3,6.9
CENTRO PRIVADO EL ARMELAR,PATERNA,51,49,7.8,6.1
IES DOCTOR PESET ALEIXANDRE,PATERNA,12,9,7.6,5.2
CENTRE PRIVAT SANTO TOMÁS DE AQUINO,PATERNA,13,13,8.5,7.1
CENTRE PRIVAT AUSIÀS MARCH,PICASSENT,17,17,7.8,5.6
CENTRE PRIVAT ALFINACH,PUÇOL,28,28,8.3,6.9
IES OLEANA,REQUENA,33,33,7.6,6.4
IES NÚMERO 1,REQUENA,60,56,7.8,6.5
IES MANUEL SANCHIS GUARNER,SILLA,34,31,7.7,6.3
IES ENRIC VALOR,SILLA,24,24,7.5,6.3
CENTRE PRIVAT LA ENCARNACIÓN,SUECA,30,30,7.6,6.2
IES MIGUEL BALLESTEROS VIANA,UTIEL,28,28,8.1,6.7
IES ALAMEDA,UTIEL,18,16,7.3,5.5
CENTRE PRIVAT ESCUELAS PÍAS,VALÈNCIA,46,43,7.7,5.6
CENTRE PRIVAT GRAN ASOCIACIÓN,VALÈNCIA,53,53,7.6,6.7
CENTRE PRIVAT SAN VICENTE FERRER-DOMINICOS,VALÈNCIA,48,47,7.7,6.5
CENTRE PRIVAT NUESTRA SEÑORA DE LORETO,VALÈNCIA,59,59,8.1,6.6
CENTRE PRIVAT SAGRADO CORAZÓN HH.MARISTAS,VALÈNCIA,113,109,7.9,6.6
CENTRE PRIVAT SANTO TOMÁS DE VILLANUEVA,VALÈNCIA,87,84,7.7,6.1
CENTRE PRIVAT ESCOLÀPIES VALÈNCIA,VALÈNCIA,84,84,7.8,6.9
CENTRE PRIVAT MARÍA AUXILIADORA,VALÈNCIA,56,52,7.2,5.9
CENTRE PRIVAT SANTÍSIMA TRINIDAD,VALÈNCIA,27,24,7.7,6.4
CENTRE PRIVAT SAN ANTONIO ABAD,VALÈNCIA,68,67,7.9,6.9
CENTRE PRIVAT SAN JOSÉ DE CALASANZ,VALÈNCIA,99,98,7.5,6.3
CENTRE PRIVAT SAGRADO CORAZÓN DE JESÚS -ESCLAVAS-,VALÈNCIA,46,46,7.5,6.6
CENTRE PRIVAT GUADALAVIAR,VALÈNCIA,67,66,9,7.3
CENTRE PRIVAT PÍO XII,VALÈNCIA,47,47,8,6.6
CENTRE PRIVAT PUREZA DE MARÍA,VALÈNCIA,48,44,7.1,6
CENTRE PRIVAT SANTA ANA,VALÈNCIA,33,33,7.7,6.3
CENTRE PRIVAT LA ANUNCIACIÓN,VALÈNCIA,26,26,7.3,5.8
CENTRE PRIVAT SAN ROQUE,VALÈNCIA,30,30,7.5,6.1
IES LUIS VIVES,VALÈNCIA,170,169,7.5,6.7
IES SAN VICENTE FERRER,VALÈNCIA,38,37,7.8,6.6
CENTRE PRIVAT ESC. PROF. ARTESANOS,VALÈNCIA,39,39,7.1,6.5
IES BENLLIURE,VALÈNCIA,108,107,7.5,6.5
IES ISABEL DE VILLENA,VALÈNCIA,27,27,8.1,7.1
IES SOROLLA,VALÈNCIA,51,46,7.7,5.9
IES LA SERRANÍA,VILLAR ARZOBISPO,32,29,7.9,6
IES LA PATACONA,ALBORAIA,26,26,7.7,6.7
IES EL GRAO,VALÈNCIA,26,26,8,6.6
IES CAMPANAR,VALÈNCIA,16,16,8.7,7.3
IES VICENTE GANDIA,CASTELLÓN,20,18,7.8,5.9
IES FERNANDO III,AYORA,21,19,8.4,6
IES ENRIC SOLER I GODES,BENIFAIÓ,37,37,7.2,6.8
IES LA MORERIA,MISLATA,18,16,7,5.6
CENTRE PRIVAT VILAVELLA,VALÈNCIA,26,26,8.1,7
IES 25 D'ABRIL,ALFAFAR,23,23,7.6,5.8
IES EL CLOT,VALÈNCIA,31,26,7.5,5.5
IES JAUME I,ONTINYENT,42,42,7.8,6.3
CENTRE PRIVAT SANTA MARÍA DEL PUIG,EL PUIG DE STA. MARIA,8,8,7.2,5.6
IES VICENT ANDRÉS ESTELLÉS,BURJASSOT,20,20,8,6.7
IES FEDERICA MONTSENY,BURJASSOT,9,9,7.7,5.9
CENTRE PRIVAT EL PRAT,LLÍRIA,7,7,7.3,6.9
IES LES ALFÀBEGUES,BÉTERA,38,34,7.6,5.8
IES ORRIOLS,VALÈNCIA,4,4,8.3,5.3
CENTRE PRIVAT HELIOS,L'ELIANA,28,28,8,7
IES LAURONA,LLÍRIA,23,23,8,6.1
IES ENRIQUE TIERNO GALVÁN,MONCADA,21,19,7.6,5.8
IES BENIMÀMET,VALÈNCIA,27,27,7.5,6.1
IES DE SEDAVÍ,SEDAVÍ,32,31,7.6,6
IES DE ADEMUZ,ADEMUZ,5,5,8.1,6.7
IES DE BENAGUASIL,BENAGUASIL,34,30,7.6,5.4
IES DE BOCAIRENT,BOCAIRENT,11,11,7.4,5.9
IES DE PUÇOL,PUÇOL,41,41,7.9,6.5
IES BARRI DEL CARME,VALÈNCIA,50,50,7.5,6.1
IES HORT DE FELIU,ALGINET,41,41,7.3,5.9
IES JOAN LLOPIS MARÍ,CULLERA,28,25,7.2,6
CENTRE PRIVAT GENÇANA,GODELLA,21,21,7.5,7
IES CONSUELO ARANDA,ALBERIC,25,25,7.4,6.5
IES ELS ÉVOLS,L'ALCÚDIA,38,37,7.7,6.3
IES JOAN FUSTER,SUECA,76,74,7.7,6.3
IES MANUEL SANCHIS GUARNER,CASTELLÓ DE RUGAT,23,23,8,6.9
IES DE GUADASSUAR,GUADASSUAR,28,28,7.9,6.5
SECCIÓN DEL IES FERNANDO III EN JALANCE,JALANCE,6,6,7.6,5.4
IES DE TAVERNES BLANQUES,BLANQUES,36,34,7.3,6
IES L'ELIANA,L'ELIANA,50,50,8.1,6.4
IES DE MASSAMAGRELL,MASSAMAGRELL,41,41,7.5,6.1
IES L'OM,PICASSENT,37,37,7.8,6.6
CENTRE PRIVAT PALMA,PATERNA,19,19,7.8,7.4
IES LA VEREDA,LA POBLA DE VALLBONA,53,52,7.4,6.1
IES VERMELLAR,L'OLLERIA,35,35,7.4,6.3
IES DE TURÍS,TURÍS,19,19,7.3,6.6
IES ALMUSSAFES,ALMUSSAFES,35,35,7.3,6.4
IES DE MASSANASSA,MASSANASSA,27,25,7.2,5.9
IES HENRI MATISSE,PATERNA,28,25,7.7,5.8
IES SERPIS,VALÈNCIA,57,55,7.4,6.4
IES DE RAFELBUNYOL,RAFELBUNYOL,17,17,7.5,6.5
IES D'ALBAL,ALBAL,67,59,8.1,6.2
IES COMARCAL,BURJASSOT,18,18,7.6,6.3
IES MÚSIC MARTÍN I SOLER,MISLATA,24,23,7.2,5.7
IES EL SALER,VALÈNCIA,13,13,7.7,6.1
